ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254060,1st innings,0,119,4/0,0,0,1,0.1,4,0,0,False,,604527,Nitish Rana,Kolkata Knight Riders,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,1070173,Shubman Gill,4,24.0
ipl20,100002,1254060,1st innings,0,118,4/0,0,0,2,0.2,0,0,0,False,,604527,Nitish Rana,Kolkata Knight Riders,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,1070173,Shubman Gill,0,12.0
ipl20,100003,1254060,1st innings,0,117,4/0,0,0,3,0.3,0,0,0,False,,604527,Nitish Rana,Kolkata Knight Riders,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,1070173,Shubman Gill,0,8.0
ipl20,100004,1254060,1st innings,0,116,4/0,0,0,4,0.4,0,0,0,False,,604527,Nitish Rana,Kolkata Knight Riders,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,1070173,Shubman Gill,0,6.0
ipl20,100005,1254060,1st innings,0,115,4/0,0,0,5,0.5,0,0,0,False,,604527,Nitish Rana,Kolkata Knight Riders,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,1070173,Shubman Gill,0,4.8
ipl20,100006,1254060,1st innings,0,114,4/0,0,0,6,0.6,0,0,0,False,,604527,Nitish Rana,Kolkata Knight Riders,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,1070173,Shubman Gill,0,4.0
ipl20,100101,1254060,1st innings,0,113,4/0,0,0,7,1.1,0,0,0,False,,1070173,Shubman Gill,Kolkata Knight Riders,438362,Sandeep Sharma,Sunrisers Hyderabad,,,604527,Nitish Rana,0,3.42
ipl20,100102,1254060,1st innings,0,112,5/0,0,0,8,1.2,1,0,0,False,,1070173,Shubman Gill,Kolkata Knight Riders,438362,Sandeep Sharma,Sunrisers Hyderabad,,,604527,Nitish Rana,1,3.75
ipl20,100103,1254060,1st innings,0,111,9/0,0,0,9,1.3,4,0,0,False,,604527,Nitish Rana,Kolkata Knight Riders,438362,Sandeep Sharma,Sunrisers Hyderabad,,,1070173,Shubman Gill,4,6.0
ipl20,100104,1254060,1st innings,0,110,9/0,0,0,10,1.4,0,0,0,False,,604527,Nitish Rana,Kolkata Knight Riders,438362,Sandeep Sharma,Sunrisers Hyderabad,,,1070173,Shubman Gill,0,5.4
